iter	RMSE
0	0.8144652096
1	0.7998487373
2	0.7838721928
3	0.7705646742
4	0.7565016084
5	0.7431561459
6	0.7295584881
7	0.7166463941
8	0.7034363482
9	0.6910661244
10	0.6800064831
11	0.668797015
12	0.6581272605
13	0.6474836621
14	0.6368074061
15	0.625097331
16	0.6144760789
17	0.6050106673
18	0.5954647936
19	0.5861090271
20	0.577683676
21	0.5687866762
22	0.5608754222
23	0.5530600303
24	0.5446623255
25	0.5380741484
26	0.5296512282
27	0.5226532393
28	0.5164445503
29	0.5099638803
30	0.502724879
31	0.4957668306
32	0.4907436143
33	0.4846704089
34	0.4799182087
35	0.4748100253
36	0.4694815049
37	0.4637245728
38	0.4585989765
39	0.4530210355
40	0.4481141504
41	0.4432324608
42	0.4377900107
43	0.4340063028
44	0.4294946008
45	0.4250965278
46	0.421125552
47	0.4168426799
48	0.4126536121
49	0.4086708612
50	0.4043947277
51	0.400757039
52	0.3972464536
53	0.3931132662
54	0.390029877
55	0.3865101119
56	0.3830313108
57	0.3793638983
58	0.3764408246
59	0.3730200145
60	0.3693661402
61	0.3664155689
62	0.3634772046
63	0.3606379179
64	0.3576743578
65	0.3549648835
66	0.3533286844
67	0.3509122083
68	0.3490551143
69	0.3480707258
70	0.3454507846
71	0.3429390272
72	0.3406917244
73	0.3385748379
74	0.3363711339
75	0.334341504
76	0.3325979549
77	0.3306342113
78	0.3287901602
79	0.3268186715
80	0.3248444508
81	0.3231651267
82	0.3216688811
83	0.3194418253
84	0.3180191516
85	0.3164233644
86	0.3150395638
87	0.3134509687
88	0.311967053
89	0.3105303524
90	0.309270149
91	0.307994253
92	0.3066370713
93	0.3049854579
94	0.3036652351
95	0.3024982595
96	0.3009720447
97	0.2995726225
98	0.2981661186
99	0.2968398637
100	0.2959497544
101	0.2944618283
102	0.2932479054
103	0.291925383
104	0.2903665132
105	0.2894951605
106	0.2884197994
107	0.2876342183
108	0.2866339184
109	0.2857582104
110	0.2845761093
111	0.2839863004
112	0.282973741
113	0.281437948
114	0.28046499
115	0.279893492
116	0.2787555359
117	0.2778127582
118	0.2767643475
119	0.2757564364
120	0.2751788863
121	0.2743759405
122	0.2735781896
123	0.273021339
124	0.2717453125
125	0.2711622906
126	0.270032361
127	0.269238718
128	0.268445291
129	0.2675057454
130	0.266881855
131	0.2659813921
132	0.265515488
133	0.2648902286
134	0.2643834439
135	0.2635646321
136	0.2627733378
137	0.2621277357
138	0.2618431356
139	0.2611206415
140	0.2605949739
141	0.2593309402
142	0.2585952403
143	0.2579487132
144	0.257345368
145	0.2567465816
146	0.2558973666
147	0.2552973409
148	0.2546247972
149	0.2536816607
150	0.2531921515
151	0.2523717777
152	0.2519986133
153	0.2512302937
154	0.2505996356
155	0.2502440743
156	0.2496803469
157	0.2484674975
158	0.2478134711
159	0.2465898766
160	0.2462398256
161	0.2454498101
162	0.2443482486
163	0.2439328928
164	0.2434469236
165	0.2427671696
166	0.2423199985
167	0.2416227023
168	0.241206299
169	0.2404971717
170	0.2394830215
171	0.239248457
172	0.238700486
173	0.238346882
174	0.2378839977
175	0.2375236037
176	0.2370639735
177	0.2360840139
178	0.2357773364
179	0.2352495014
180	0.2346599629
181	0.2339342023
182	0.2328313263
183	0.2323563734
184	0.2318837332
185	0.2314122214
186	0.2310232117
187	0.2306588609
188	0.2300653083
189	0.2298089759
190	0.2294661553
191	0.2289068537
192	0.2281506529
193	0.2279206608
194	0.2272030708
195	0.226890639
196	0.2265935935
197	0.226150878
198	0.2256768222
199	0.2251392393
200	0.2246929805
201	0.2240380186
202	0.223664278
203	0.2232712072
204	0.2229382007
205	0.222003565
206	0.2217657573
207	0.2214429972
208	0.2212101505
209	0.2209911973
210	0.2201609126
211	0.2199395371
212	0.2195503764
213	0.219403853
214	0.2183770119
215	0.217558021
216	0.2165345077
217	0.216073617
218	0.215848833
219	0.2149232415
220	0.2147591706
221	0.2140179946
222	0.2137866922
223	0.2134765874
224	0.2131197077
225	0.2122216154
226	0.2119613653
227	0.2117460841
228	0.211092239
229	0.2108222285
230	0.2100797847
231	0.2096252143
232	0.2090978326
233	0.2087305294
234	0.2084546578
235	0.2082169965
236	0.2080583453
237	0.2074324876
238	0.2071791894
239	0.2069081801
240	0.2065633646
241	0.2055449648
242	0.2053223787
243	0.2051097199
244	0.2048875458
245	0.2039729094
246	0.2035911979
247	0.2033283698
248	0.2025406395
249	0.2022681635
250	0.2019931994
251	0.2017832845
252	0.2006604942
253	0.2004082622
254	0.2002135867
255	0.1998692279
256	0.199617916
257	0.1993930904
258	0.1992469472
259	0.1990790374
260	0.1980267541
261	0.1973709326
262	0.1968959507
263	0.196681623
